pilot_order,kepid,kepoi_name,array_filename,array_sha256,processing_status,qc_pass,qc_reasons,valid_quarters,quarter_stats,valid_cadences,raw_temporal_span_days,usable_temporal_span_days,temporal_baseline_fraction,observed_transit_epochs,in_transit_cadences,global_observed_fraction,local_observed_fraction,global_missing_run_fraction,local_missing_run_fraction,phase_center_flux,local_minimum_coordinate_durations,visibly_miscentered_flag,phase_inversion_flag,pdcsap_local_depth,sap_local_depth,sap_pdcsap_morphology_difference_fraction,sap_pdcsap_material_difference_flag,maximum_quarter_boundary_jump,strong_quarter_discontinuity_flag,unusually_high_interpolation_flag
1,9636135,K01498.02,K01498_02.npz,d122be3ad81a62464432dbcb7b6fffab2f3949d959893059c2b14f31f3d61436,constructed,True,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.51284348825, ""median"": 7220.716552734375, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4524482088163, ""median"": 7187.66552734375, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.4024484800175, ""median"": 7023.73583984375, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.4736916185357, ""median"": 7244.900390625, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.5198789434507, ""median"": 7307.71240234375, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.4541537165642, ""median"": 6802.048583984375, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.4036378720775, ""median"": 6853.409423828125, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4759952798486, ""median"": 7178.180908203125, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.5212757876143, ""median"": 7229.75927734375, ""quarter"": 9, ""total"": 4768, ""usable"": 4608}, {""cadence_seconds"": 1765.4570753336884, ""median"": 6811.82177734375, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.4051799327135, ""median"": 6782.82275390625, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.4740637750365, ""median"": 7084.69775390625, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.5223595676944, ""median"": 7140.1767578125, ""quarter"": 13, ""total"": 4421, ""usable"": 4241}, {""cadence_seconds"": 1765.457638911903, ""median"": 6918.96728515625, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.4053531237878, ""median"": 6762.54248046875, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4827293008566, ""median"": 7026.264404296875, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.5237205792218, ""median"": 7179.71337890625, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",64792,1459.4892209442,1459.4892209442,1,551,3284,1,1,0,0,0.999749779701233,0.1875,False,False,0.000152111053466797,0.000297784805297852,0.957680250783699,True,0.00151518405387785,False,False
2,9941859,K00528.01,K00528_01.npz,911b108d7e7578c91f445f516afe90b78696e01bd5005caf5a5be33e9bd87b86,constructed,True,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.5148249701597, ""median"": 22058.0849609375, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4569247737527, ""median"": 21294.548828125, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.4029017314315, ""median"": 21118.07421875, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.4689689399675, ""median"": 21806.8720703125, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.520019759424, ""median"": 21805.35546875, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.4586095362902, ""median"": 21119.15234375, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.4039635090157, ""median"": 21041.01953125, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4713279218413, ""median"": 21491.90234375, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.5207945615984, ""median"": 21629.185546875, ""quarter"": 9, ""total"": 4768, ""usable"": 4608}, {""cadence_seconds"": 1765.4615160659887, ""median"": 21069.681640625, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.4054911108688, ""median"": 20770.701171875, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.4693662421778, ""median"": 21324.4482421875, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.5219575506635, ""median"": 21277.189453125, ""quarter"": 13, ""total"": 4421, ""usable"": 4241}, {""cadence_seconds"": 1765.462084673345, ""median"": 20930.4697265625, ""quarter"": 14, ""total"": 4757, ""usable"": 4268}, {""cadence_seconds"": 1765.405572205782, ""median"": 20589.6533203125, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4780971468426, ""median"": 21262.58984375, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.5215391889215, ""median"": 21159.4951171875, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",64791,1459.48921921898,1459.48921921898,1,144,964,1,1,0,0,0.999318480491638,0.0625000000000003,False,False,0.000654816627502441,0.000568389892578125,0.131986164208993,False,0.00019747881494836,False,False
3,8611832,K02414.01,K02414_01.npz,9d3c7c28a51917c42b06d9201acf23102bdc7042417d43b0cd8ba510d22bc28a,constructed,True,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.5169224366546, ""median"": 57759.421875, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4524790123105, ""median"": 57462.8359375, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.3982843505219, ""median"": 57448.26171875, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.4735963791609, ""median"": 56030.3984375, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.523845050484, ""median"": 57212.04296875, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.4542841599323, ""median"": 56913.455078125, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.3995196335018, ""median"": 57006.091796875, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4763064580038, ""median"": 55561.49609375, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.52523560822, ""median"": 56617.1953125, ""quarter"": 9, ""total"": 4768, ""usable"": 4608}, {""cadence_seconds"": 1765.457372367382, ""median"": 56382.4375, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.4005179181695, ""median"": 56618.02734375, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.4740942642093, ""median"": 55093.62109375, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.526417142246, ""median"": 56126.3203125, ""quarter"": 13, ""total"": 4421, ""usable"": 4241}, {""cadence_seconds"": 1765.4580808477476, ""median"": 55835.71484375, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.40078666294, ""median"": 56016.26171875, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4833680018783, ""median"": 54611.859375, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.5277630663477, ""median"": 55135.125, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",64792,1459.48915149384,1459.48915149384,1,61,757,1,1,0,0,0.999861598014832,-0.3375,False,False,0.000116109848022461,0.000123381614685059,0.0626283367556468,False,0.0104737643524095,True,False
4,6878240,K02681.01,K02681_01.npz,3efdea9605d8abc242bc939dc846a68d56efcda6796fd341c5a3ddfccb2f59c0,constructed,True,[],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.46997979749, ""median"": 5852.9208984375, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.3870995389298, ""median"": 6013.987548828125, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.45512402663, ""median"": 6005.87646484375, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.5355472350493, ""median"": 5738.7626953125, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.471936762333, ""median"": 5721.11328125, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.3875122428872, ""median"": 5939.6640625, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4583228752017, ""median"": 5940.89208984375, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.5353878741153, ""median"": 5689.552978515625, ""quarter"": 9, ""total"": 4768, ""usable"": 4610}, {""cadence_seconds"": 1765.4754970804788, ""median"": 5664.8359375, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.3883574530482, ""median"": 5888.3623046875, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.45568194706, ""median"": 5905.693359375, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.5364439939149, ""median"": 5646.01171875, ""quarter"": 13, ""total"": 4421, ""usable"": 4241}, {""cadence_seconds"": 1765.476346691139, ""median"": 5600.3037109375, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.3884954401292, ""median"": 5839.78857421875, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.466786606703, ""median"": 5852.736572265625, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.529178455472, ""median"": 5606.99267578125, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",63170,1421.48092048051,1421.23570921071,0.999827495912002,10,135,1,1,0,0,0.995071709156036,0.1125,False,False,0.00437402725219727,0.00417029857635498,0.0465769104982012,False,0.000665656120304559,False,False
5,6945786,K03136.01,K03136_01.npz,97d330fd2ad1af3e767432430c07f53a22d2ee6e5df0171bcfa71366aec9e87c,constructed,True,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.5282581225038, ""median"": 7436.4833984375, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4596398817375, ""median"": 7845.749755859375, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.3903691098094, ""median"": 7523.716064453125, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.4659970314242, ""median"": 7019.25048828125, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.5322657199576, ""median"": 7386.044189453125, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.4615465551615, ""median"": 7899.024169921875, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.3911335393786, ""median"": 7552.99169921875, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.469110070262, ""median"": 7002.700439453125, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.5325291212648, ""median"": 7340.86962890625, ""quarter"": 9, ""total"": 4768, ""usable"": 4609}, {""cadence_seconds"": 1765.4650518670678, ""median"": 7785.09423828125, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.391787327826, ""median"": 7494.6923828125, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.4665452078916, ""median"": 6998.141357421875, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.534017747268, ""median"": 7290.072265625, ""quarter"": 13, ""total"": 4421, ""usable"": 4242}, {""cadence_seconds"": 1765.4658559011295, ""median"": 7741.11962890625, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.3921368531883, ""median"": 7579.909423828125, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4771064058878, ""median"": 6943.30078125, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.531616017688, ""median"": 7269.55712890625, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",64794,1459.48901089763,1459.48901089763,1,562,2147,1,1,0,0,0.999596238136292,0.5375,True,False,0.00014728307723999,-6.49690628051758e-06,1.04411169566977,True,0.00216243347860146,False,False
6,3544595,K00069.01,K00069_01.npz,decb6050d890c5a978fb6e3af1b1f97a013ec32067e02efb2efb67ab72c5d6b4,constructed,True,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.5357814044692, ""median"": 1495313.875, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4570454731584, ""median"": 1536979.0625, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.3808489441872, ""median"": 1493762.125, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.468773432076, ""median"": 1509499.5, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.5413942411542, ""median"": 1489834.0, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.4591275379062, ""median"": 1523688.3125, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.3813578304835, ""median"": 1477615.4375, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4721674742177, ""median"": 1492170.875, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.5414338456467, ""median"": 1476244.875, ""quarter"": 9, ""total"": 4768, ""usable"": 4609}, {""cadence_seconds"": 1765.4631153331138, ""median"": 1511002.625, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.3822765918449, ""median"": 1461933.25, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.4692609445192, ""median"": 1479367.1875, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.5427568242885, ""median"": 1462414.125, ""quarter"": 13, ""total"": 4421, ""usable"": 4243}, {""cadence_seconds"": 1765.464005805552, ""median"": 1499281.625, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.3827449306846, ""median"": 1447379.0625, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4811903834343, ""median"": 1466373.125, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.5411629006267, ""median"": 1454250.25, ""quarter"": 17, ""total"": 1556, ""usable"": 1285}]",64796,1459.48886575223,1459.48886575223,1,286,1671,1,1,0,0,0.999720633029938,0.0125,False,False,0.000247478485107422,0.000266432762145996,0.0765895953757225,False,0.000409575117039651,False,False
7,5688910,K02856.01,K02856_01.npz,cd527ea0a75b325eefa61e1cea6a815100cadc1dcd2196f6a7bb5d5dcc6eb58e,constructed,False,"[""valid_quarters_below_8""]","[1, 2, 3, 12, 14, 15, 16]","[{""cadence_seconds"": 1765.52296243608, ""median"": 10171.140625, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4475504532456, ""median"": 9995.353515625, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.38916148711, ""median"": 10115.02685546875, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.4793044552207, ""median"": 10465.193359375, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.4538268223405, ""median"": 9782.609375, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.3912828420289, ""median"": 9906.6982421875, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4896695166826, ""median"": 10117.41943359375, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}]",25547,1426.4465217894,1426.4465217894,1,21,209,1,1,0,0,0.999308288097382,-0.0124999999999999,False,False,0.000601053237915039,0.0011056661605835,0.839547798492662,True,0.0042356610746388,False,False
8,11030711,K01429.01,K01429_01.npz,7b98b9cea3435d1576d5f62cf3f571e6e5116c703e6623254bb7dda55487eb3c,constructed,True,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[{""cadence_seconds"": 1765.5200653360225, ""median"": 9221.71923828125, ""quarter"": 1, ""total"": 1639, ""usable"": 1624}, {""cadence_seconds"": 1765.4683811590075, ""median"": 9123.697265625, ""quarter"": 2, ""total"": 4354, ""usable"": 4070}, {""cadence_seconds"": 1765.4039371060207, ""median"": 9031.19384765625, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.4568791971542, ""median"": 9337.83984375, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.5200593639165, ""median"": 9131.1513671875, ""quarter"": 5, ""total"": 4634, ""usable"": 4486}, {""cadence_seconds"": 1765.4699851409532, ""median"": 9008.82861328125, ""quarter"": 6, ""total"": 4398, ""usable"": 4272}, {""cadence_seconds"": 1765.4052776866592, ""median"": 8960.490234375, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4592127189972, ""median"": 9301.76123046875, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.5196834355593, ""median"": 8951.8427734375, ""quarter"": 9, ""total"": 4768, ""usable"": 4609}, {""cadence_seconds"": 1765.4728162335232, ""median"": 8850.4765625, ""quarter"": 10, ""total"": 4573, ""usable"": 4441}, {""cadence_seconds"": 1765.4060097411275, ""median"": 8956.1171875, ""quarter"": 11, ""total"": 4754, ""usable"": 4473}, {""cadence_seconds"": 1765.457327105105, ""median"": 9178.8154296875, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.5205170158297, ""median"": 8839.8232421875, ""quarter"": 13, ""total"": 4421, ""usable"": 4241}, {""cadence_seconds"": 1765.4734197305515, ""median"": 8950.8212890625, ""quarter"": 14, ""total"": 4757, ""usable"": 4269}, {""cadence_seconds"": 1765.4060449451208, ""median"": 8802.29931640625, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.466036950238, ""median"": 9005.63916015625, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.514345630072, ""median"": 8904.3515625, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",64793,1459.4892317238,1459.4892317238,1,6,121,1,1,0,0,0.997560977935791,0.2375,False,False,0.00210905075073242,0.0017009973526001,0.193477277865702,False,0.000268984997351174,False,False
9,8266276,K01731.02,K01731_02.npz,0546f61bb1806623dfe004c8cd04d9670021a8e1376fef9d61596d9583174b0b,constructed,True,[],"[3, 4, 7, 8, 11, 12, 15, 16]","[{""cadence_seconds"": 1765.38722589612, ""median"": 6859.756591796875, ""quarter"": 3, ""total"": 4370, ""usable"": 4134}, {""cadence_seconds"": 1765.441500081215, ""median"": 6935.581787109375, ""quarter"": 4, ""total"": 4397, ""usable"": 4108}, {""cadence_seconds"": 1765.3879271470942, ""median"": 7036.686279296875, ""quarter"": 7, ""total"": 4375, ""usable"": 4226}, {""cadence_seconds"": 1765.4446731554344, ""median"": 6957.304931640625, ""quarter"": 8, ""total"": 3279, ""usable"": 3106}, {""cadence_seconds"": 1765.3886592015624, ""median"": 7049.613525390625, ""quarter"": 11, ""total"": 4754, ""usable"": 4474}, {""cadence_seconds"": 1765.4421133222058, ""median"": 6796.875, ""quarter"": 12, ""total"": 4044, ""usable"": 3550}, {""cadence_seconds"": 1765.3886312269606, ""median"": 7057.782958984375, ""quarter"": 15, ""total"": 4780, ""usable"": 4366}, {""cadence_seconds"": 1765.4530322179198, ""median"": 6680.12109375, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}]",31498,1297.73307502905,1297.71264179121,0.999984254668215,780,3320,1,1,0,0,1.0010290145874,1.0875,True,False,0.00037771463394165,0.00103092193603516,1.72936720845826,True,0.0115104507086387,True,False
10,9291368,K07155.02,K07155_02.npz,1de9c284e49ba9a187adad863b7603688383726383d0edb3e587763bf263acc9,constructed,False,"[""valid_quarters_below_8"", ""global_coverage_below_0.80""]","[16, 17]","[{""cadence_seconds"": 1765.4627988114953, ""median"": 37856.302734375, ""quarter"": 16, ""total"": 4203, ""usable"": 3534}, {""cadence_seconds"": 1765.5201234854758, ""median"": 37433.251953125, ""quarter"": 17, ""total"": 1556, ""usable"": 1284}]",4818,118.903824583809,118.883391650692,0.999828155795755,29,624,0.7865,1,0.0005,0,0.922091007232666,0.0125,False,False,0.0603421926498413,0.0597094297409058,0.0104862432263175,False,0.00781475496310113,False,True
