source_row_index,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_vet_stat,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_max_mult_ev,koi_num_transits,koi_quarters,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,conflict_reason,label_conflict,label,label_name,label_policy,inclusion_status,exclusion_reason
405,3239945,K00490.02,Kepler-167 e,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,INDIV_TRANS_MARSHALL_ZUMA---INCONSISTENT_TRANS---CENT_FEW_DIFFS,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,1071.232624,420.286557,16.1784,19045.6,544.2,279.55515,3,11111111111111111000000000000000,4,4799,4.631,-0.02,0.692,0.776,292.65842,38.34539,14.023,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
439,3323887,K00377.01,Kepler-9 b,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,LPP_DV---MOD_NONUNIQ_DV---MOD_NONUNIQ_ALT,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,19.270825843,182.5436,4.1281,6660.5,577.1,135.69907,67,11111111111111111000000000000000,1,5779,4.491,0.12,0.956,1.034,285.57397,38.400902,13.803,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
602,3559860,K03440.01,Kepler-1980 b,CONFIRMED,FALSE POSITIVE,0.179,0,1,0,0,q1_q17_dr25_koi,DEPTH_ODDEVEN_ALT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,33.0257179,161.01,6.032,507.1,12.2,11.127428,31,01111011101110111000000000000000,2,5819,4.468,0.14,0.99,1.049,295.16721,38.637081,15.606,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
606,3561464,K03398.01,Kepler-1487 b,CONFIRMED,FALSE POSITIVE,0.002,1,0,0,0,q1_q17_dr25_koi,LPP_DV---CENT_KIC_POS,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,7.31945294,137.22065,4.881,166.8,16.3,13.295371,142,11111011101110111000000000000000,3,5745,3.499,0.4,3.955,1.801,295.49811,38.644501,13.489,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
615,3634051,K06103.01,Kepler-1981 b,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,INDIV_TRANS_SKYE---CENT_FEW_DIFFS,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,453.54212,360.0617,17.026,861,48.8,35.408863,3,11111111111111111000000000000000,2,5874,3.664,0.12,3.006,1.519,287.97546,38.74028,13.436,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
623,3642741,K00242.01,Kepler-503 b,FALSE POSITIVE,CANDIDATE,1,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,7.258450123,138.344691,5.7297,3714.7,288.6,283.08282,182,11111111111111111000000000000000,1,5638,4.513,0.16,0.92,1.006,290.63651,38.707668,14.747,nonconfirmed_with_kepler_name,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
1007,4263293,K01895.03,Kepler-331 d,CONFIRMED,FALSE POSITIVE,0.243,0,1,0,0,q1_q17_dr25_koi,DEPTH_ODDEVEN_DV,Done,2017-08-31 00:00:00,3,q1_q17_dr25_tce,32.1340014,142.27582,2.691,1262,11.8,13.92513,40,11111111111111111000000000000000,3,4347,4.73,-0.84,0.524,0.537,291.83432,39.307362,15.862,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
1598,5175986,K02708.01,Kepler-1320 b,CONFIRMED,FALSE POSITIVE,0,0,0,0,1,q1_q17_dr25_koi,EPHEM_MATCH,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,0.868386354,132.06741,1.066,488.5,27.3,20.688766,1506,01111111111111111000000000000000,1,4792,4.627,0.07,0.704,0.793,288.43359,40.380878,15.898,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
1600,5177859,K04246.01,Kepler-1576 b,CONFIRMED,FALSE POSITIVE,0.364,1,0,0,0,q1_q17_dr25_koi,LPP_DV,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,6.98472143,135.99731,2.724,90.7,11.7,10.99175,196,11111111111111111000000000000000,2,5839,4.279,0.12,1.227,1.044,289.07397,40.366009,13.382,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
1745,5340878,K04199.01,Kepler-1566 b,CONFIRMED,FALSE POSITIVE,0.146,0,1,0,0,q1_q17_dr25_koi,MOD_SEC_ALT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,0.539915033,131.55207,1.1466,97,17.6,15.009405,1914,11110111011101110000000000000000,1,5102,4.502,0.1,0.837,0.811,283.58762,40.574928,14.311,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
1849,5437945,K03791.01,Kepler-460 b,CONFIRMED,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_koi,MOD_SEC_DV---MOD_SEC_ALT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,440.7843755,139.3535,21.693,2579,181,79.50336,4,11111111111111111000000000000000,2,6340,4.163,-0.38,1.393,1.031,288.47485,40.65136,13.771,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
1980,5531953,K01681.02,Kepler-1984 b,CONFIRMED,FALSE POSITIVE,0.329,0,0,1,0,q1_q17_dr25_koi,CENT_UNRESOLVED_OFFSET,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,1.992812339,131.70565,2.066,314.8,16.8,12.93635,643,11111111111111111000000000000000,4,3638,4.844,-0.14,0.42,0.45,291.285,40.730049,15.855,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
2069,5640085,K00448.02,Kepler-159 c,CONFIRMED,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_koi,DEEP_V_SHAPED,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,43.5859419,194.6107,4.6814,1708.7,38.9,31.829948,31,11111111111111111000000000000000,2,3893,4.758,-0.28,0.5,0.521,297.07016,40.86879,14.902,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
2296,5897826,K00126.01,Kepler-469 b,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,LPP_DV,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,33.80364366,202.259731,11.4813,13494.4,529.9,1177.5599,42,11111111111111111000000000000000,2,5855,3.999,0.16,1.796,1.174,297.47586,41.114288,13.109,nonconfirmed_with_kepler_name,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
2366,5972334,K00191.04,Kepler-487 c,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,TRANS_GAPPED,Done,2017-08-31 00:00:00,4,q1_q17_dr25_tce,38.6520796,164.04455,5.607,566.5,24.8,13.80781,24,11111011101110111000000000000000,4,5422,4.484,0.02,0.887,0.874,295.28723,41.221958,14.991,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
2407,6026438,K02045.02,Kepler-354 d,CONFIRMED,FALSE POSITIVE,0.4,0,0,1,0,q1_q17_dr25_koi,CENT_UNRESOLVED_OFFSET,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,24.2101973,141.4698,4.046,458,14.1,11.474611,41,11110111011101110000000000000000,3,4650,4.589,-0.04,0.706,0.704,285.75146,41.33564,15.549,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
2545,6196457,K00285.03,Kepler-92 d,CONFIRMED,FALSE POSITIVE,0.476,1,0,0,0,q1_q17_dr25_koi,LPP_DV,Done,2017-08-31 00:00:00,3,q1_q17_dr25_tce,49.3567907,134.29533,10.954,130.2,35,20.625551,27,11111111111111111000000000000000,3,5862,4.05,0.16,1.67,1.142,289.08606,41.562958,11.565,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
2585,6226908,K04068.01,Kepler-1546 b,CONFIRMED,FALSE POSITIVE,0.402,0,1,0,0,q1_q17_dr25_koi,DEPTH_ODDEVEN_DV,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,19.597317,135.26526,4.508,1014.1,23.7,17.87493,22,10000001100110011000000000000000,1,5569,4.368,-0.02,1.019,0.883,297.58392,41.541229,15.412,confirmed_but_robovetter_false_positive,True,,,confirmed_vs_false_positive_v1,excluded_conflict,contradictory_source_labels
