source_row_index,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_vet_stat,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_max_mult_ev,koi_num_transits,koi_quarters,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,conflict_reason,label_conflict,label,label_name,label_policy,inclusion_status,exclusion_reason
0,757450,K00889.01,Kepler-75 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,8.884922995,169.991686,2.07004,16053.4,388.2,474.02078,153,11111111111111111000000000000000,1,5332,4.5,-0.08,0.843,0.821,291.1376,36.577381,15.264,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,
1,892772,K01009.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,q1_q17_dr25_koi,CENT_RESOLVED_OFFSET---HALO_GHOST,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,5.09246539,357.53594,3.659,254,17.1,15.175163,225,00011111111111111000000000000000,1,5037,4.547,-0.2,0.751,0.727,291.15338,36.678841,15.162,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
2,1025986,K07621.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,INDIV_TRANS_CHASES_SKYE---CENT_SATURATED,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,275.07365,315.2486,3.37,228.9,7.5,8.011753,4,11111111111111111000000000000000,1,5604,4.226,-0.12,1.187,0.864,291.03369,36.771042,10.15,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
3,1026032,K06252.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,8.460438928,133.7744903,4.73492,76412.9,1797.4,3704.5034,164,11111111111111111000000000000000,1,5951,4.638,-1.06,0.702,0.796,291.04407,36.729271,14.813,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
4,1026957,K00958.01,Kepler-1731 b,CONFIRMED,CANDIDATE,1,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,21.76129812,166.540438,1.243,1300.7,60,96.205444,62,11111111111111111000000000000000,1,4859,4.612,0,0.72,0.781,291.25449,36.74361,12.559,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,
5,1161345,K00984.01,Kepler-1973 b,CONFIRMED,CANDIDATE,0.711,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,4.28746668,262.06245,1.5693,790.1,19.4,116.715004,313,11111111111111111000000000000000,1,5296,4.576,0.12,0.815,0.911,291.0488,36.839882,11.631,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,
6,1293031,K04162.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,q1_q17_dr25_koi,INDIV_TRANS_RUBBLE_SKYE_ZUMA_TRACKER---SWEET_NTL---LPP_ALT---MOD_NONUNIQ_DV---MOD_NONUNIQ_ALT---MOD_TER_ALT---MOD_POS_ALT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,0.53936593,131.97457,5.434,145,57.6,9.0759325,1239,11111111111111111000000000000000,1,6341,3.301,-0.1,5.302,2.05,291.02097,36.903648,12.915,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
7,1293046,K07622.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,q1_q17_dr25_koi,CENT_RESOLVED_OFFSET---HALO_GHOST,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,36.2671673,155.0813,2.065,627.1,10,7.4721065,39,11111111111111111000000000000000,1,4264,4.637,-0.2,0.62,0.607,291.02655,36.91637,15.544,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
8,1431122,K00994.01,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,q1_q17_dr25_koi,CENT_KIC_POS,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,4.2989201,132.86187,2.747,237.6,20,15.994445,314,11111111111111111000000000000000,1,5300,4.385,0.18,0.986,0.861,291.14249,37.061321,14.613,,False,,,confirmed_vs_false_positive_v1,excluded_candidate,candidate_excluded_by_policy
9,1432214,K00998.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,161.78832712,214.039,5.31,87750,704.5,806.9931,9,01111111111111111000000000000000,1,6018,4.327,0.18,1.212,1.142,291.38269,37.07299,15.661,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
10,1432789,K00992.01,Kepler-745 b,CONFIRMED,CANDIDATE,0.848,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,9.93146307,136.49128,5.678,398.6,26.2,22.90132,137,11111111111111111000000000000000,2,5782,4.28,0.16,1.22,1.035,291.49942,37.05928,15.214,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,
11,1432789,K00992.02,,CANDIDATE,CANDIDATE,0.961,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,4.57834367,132.2982,3.987,140.7,11.4,8.890821,275,11111111111111111000000000000000,2,5782,4.28,0.16,1.22,1.035,291.49942,37.05928,15.214,,False,,,confirmed_vs_false_positive_v1,excluded_candidate,candidate_excluded_by_policy
12,1433962,K00982.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,q1_q17_dr25_koi,MOD_SEC_ALT---CENT_RESOLVED_OFFSET---EPHEM_MATCH,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,1.592633181,133.9243804,5.5605,633.1,66.9,25.79307,846,11111111111111111000000000000000,1,4506,4.626,-0.2,0.651,0.654,291.76196,37.09864,15.47,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,
