pilot_order,source_row_index,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_vet_stat,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_max_mult_ev,koi_num_transits,koi_quarters,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,conflict_reason,label_conflict,label,label_name,label_policy,inclusion_status,exclusion_reason,host_manifest_count,host_category,period_stratum,selected,cell_rank,snr_distance,duration_distance
1,5739,9636135,K01498.02,Kepler-864 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,2.42150341,133.83517,2.965,171.5,15.8,13.30873,511,11111111111111111000000000000000,2,6213,4.387,0.36,1.195,1.27,285.0571,46.320679,15.776,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,2,multi,very_short,True,1,0.00350877192982457,0.0385964912280702
2,6142,9941859,K00528.01,Kepler-178 b,CONFIRMED,CANDIDATE,1,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,9.57665962,176.683759,3.3603,746.8,82.6,66.11585,144,11111111111111111000000000000000,3,5386,4.322,0.18,1.076,0.886,287.1011,46.896481,14.598,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,3,multi,short,True,1,0.000200400801603218,0.619438877755511
3,4775,8611832,K02414.01,Kepler-384 b,CONFIRMED,CANDIDATE,0.972,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,22.5968256,140.42654,6.179,142.9,22.2,17.997093,60,11111111111111111000000000000000,2,5610,4.301,-0.04,1.104,0.889,286.02612,44.782871,13.584,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,2,multi,medium,True,1,0.00203784570596799,0.0409024745269287
4,3171,6878240,K02681.01,Kepler-397 c,CONFIRMED,CANDIDATE,1,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,135.4978256,233.6923,6.769,5038.1,73.2,70.36768,10,01111111111111111000000000000000,2,5307,4.572,-0.28,0.757,0.782,295.8941,42.380451,15.996,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,2,multi,long,True,1,0.00422535211267605,0.0746478873239436
5,3216,6945786,K03136.01,Kepler-1909 b,CONFIRMED,CANDIDATE,0.99,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,2.39161966,133.07956,1.906,189.2,13.6,12.415068,560,11111111111111111000000000000000,1,4935,4.589,-0.42,0.685,0.663,290.88931,42.45966,15.738,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,1,single,very_short,True,1,0.00159574468085107,0.256382978723404
6,570,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,1,0,0,0,0,q1_q17_dr25_koi,CENT_SATURATED,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,4.72674037,134.926396,2.9267,273.1,287.8,244.8787,284,11111111111111111000000000000000,1,5648,4.472,-0.2,0.894,0.866,291.4183,38.672359,9.931,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,1,single,short,True,1,0.000692840646651205,0.500461893764434
7,2110,5688910,K02856.01,Kepler-1369 b,CONFIRMED,CANDIDATE,0.918,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,25.8730914,143.28644,5.085,694.4,20.1,16.604742,21,11100000000101110000000000000000,1,6036,4.382,0.02,1.093,1.048,285.79724,40.93618,15.323,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,1,single,medium,True,1,0.00148270181219112,0.120098846787479
8,7147,11030711,K01429.01,Kepler-1750 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,Done,2017-08-31 00:00:00,1,q1_q17_dr25_tce,205.912735,252.74129,9.992,2378.8,49.4,45.572163,6,11111111111111111000000000000000,1,5644,4.457,0.14,0.969,0.981,292.3515,48.511082,15.531,,False,1,positive_confirmed,confirmed_vs_false_positive_v1,included,,1,single,long,True,1,0.00270270270270279,0.335135135135135
9,4432,8266276,K01731.02,,FALSE POSITIVE,FALSE POSITIVE,0.022,0,0,1,0,q1_q17_dr25_koi,CENT_RESOLVED_OFFSET,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,0.837898153,131.98187,2.104,268.9,13.9,9.6464815,722,00110011001100110000000000000000,2,4748,4.526,0.3,0.797,0.776,301.4693,44.159649,15.72,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,,2,multi,very_short,True,1,0.00909090909090909,0.490909090909091
10,5398,9291368,K07155.02,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_koi,SWEET_EB---DEEP_V_SHAPED---CENT_FEW_DIFFS,Done,2017-08-31 00:00:00,2,q1_q17_dr25_tce,3.79654367,133.2353,11.4071,70781,283.7,403.76572,26,00000000000000011000000000000000,2,8117,3.748,-0.42,3.07,1.922,295.82617,45.78764,14.005,,False,0,negative_false_positive,confirmed_vs_false_positive_v1,included,,2,multi,short,True,1,0.00810810810810814,0.845945945945946
