source_row_index,kepid,kepoi_name,label,relative_path,npz_bytes,npz_sha256,qc_pass,model_data_available,global_count_sha256,global_flux_sha256,global_observed_mask_sha256,local_count_sha256,local_flux_sha256,local_observed_mask_sha256
0,757450,K00889.01,1,processed/757450/K00889_01.npz,21260,156787337768e1b5d6eb8e8b0fc7d89023301e73d6a44f63169264830e291754,True,True,c6831aea97c71aeefc5a18c3b5e7827df4463d9cd8d264210a36fcd754ecdce2,5b340e1c302d49b6360a771792b3f57a2ed49086e6e409f7c3708902507e33c3,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,cdb194164b70d8e0a9f5c1045930b1091bb81c6eef619ba03599777be2c247a6,bac20fddcf0238a74cfc399d5a7110339f1f7e11fc09069d088b6d852eb58595,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
1,892772,K01009.01,0,processed/892772/K01009_01.npz,21260,f275abd37b95422ffd3e9012d8a067be26c204c8cbcd1fe24e41f7a77d90b5f2,True,True,9c5fa3dfeec7817e48e14caa2eff7b95684da38faa7070f6514231c8bfd79f30,03ae484c92041918fc796c9e84b7c3d780b76466bf6eb7b7496de675f6293fe3,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,da7182ab4142689b7a54d0d601e7b62946c65fb01277b1c221a8ed1111f495fa,24f590b47f5d1a7f6f10e40c82036d7d695db4fc9ea3b27ecd2ff80764daf982,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
2,1025986,K07621.01,0,processed/1025986/K07621_01.npz,21260,5979d4d0b450ce50c8876f7e7a8d418f1b9ba4426596dc96659211a006f68319,True,True,1036cd7eedb8b41d446cf505c5d08def2d97dc54136b6b9f14387cd7c88a5c55,ebc351539286c6e152cb2d67b302c77122c225b57d960ad3a8dc041482b03d30,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,47e6fcfa98b0fd046c707787720b7fc728a79bca8ebddb074c8e0a0eb98de42e,c903084b46a49d267947e174dbaee084510ebfa8074cb8c666a796bf1f7f850d,130951956b84a94edf3c9c56377b9ff449735b14810a9979ac925bd2e62e1e6c
3,1026032,K06252.01,0,processed/1026032/K06252_01.npz,21260,4480adeed972346dc343e45a6e2a7b0cda65bf0ecac1cf0f6cb7a036c4bfdaf2,True,True,f1527774812d48a4c63a2b28da89918f74a64b89ac07db8925d0b27e7f478fca,4b97d064a36acebd228a6797b60c8cab8db7e3abf4a844c165fc203ad7bf2595,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,8cae324e9b5c34343fe473a5c4b3ff0f20e19db2a25937f8ec7d27d584ada0a3,2be85025666dee0c1e17080daf4841629a560354ad53c7b100609f04697f02a0,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
4,1026957,K00958.01,1,processed/1026957/K00958_01.npz,21260,5bfbf068705533a701cc8b1c83e50d1509bd9e3021b62ec7cd217d6204339118,True,True,b5e23bfeca5e886839abd8c7fa78c50fc8d72aafe9ff33d6c82c4b52253d3247,84d72ce4e368e588681b207801c19b1e8177cb9bb2e8630e0eb5d073a3b89f29,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,bc3054f4494d5069d3bb538e780897a328331d4e675350aab858b747f2c16667,db04f6d32d8649d0315e8207c8a9b593216041a18cce3ccd9757b0fd40b91699,d0f92c563aa502853081ed4563dd4289f4d78c386ce88a53336ca4fcf9a4ba90
5,1161345,K00984.01,1,processed/1161345/K00984_01.npz,21260,ba24b71641836cd239ec0f5baf8414e16731c3f1fa73ce5a9a340f86fce5e6a7,True,True,a1ef2e67bf381bd05f80a673c5ed82400bd61ce290250f8e2025b8dcf2936675,4920a981750bb3699d8fcebc5bfdb8301d1e68011d648a609eac2c6366dc1742,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,f9a30bc3c13751ecd01b821e2e6ab82d884ff442ca29d7f65df7aa2993e78e03,1987512856f92fd2d4fb46ec9a02cc17cbeb3a2632cbbf1e12379e9e46d79f7e,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
6,1293031,K04162.01,0,processed/1293031/K04162_01.npz,21260,3c43ba3dc12835ede16c725f9f786c2b6948d057dc73044269f176f074e277ae,False,True,16ee0294be799f0395acaf654d6917d41e11608370de64fdf46ab3c8f335e70f,fcf84942148a4c081fea8505aec5db1e8185723d55580d4caea08851dffc71c5,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,384e4209c05842bbb84ade35229776470347041dae4b82aa28fcccda3cebc861,4d7db253ac41ed81f5aa794d6409cb3652e0ec9243a41aa9ad9e367732bcbdb8,23f17b3323fae5833171fa60ed8e5e6fa995ce37c60a9596b648196b272a6b5d
7,1293046,K07622.01,0,processed/1293046/K07622_01.npz,21260,bc68f2f39565bd48ec677873bea04448bae71e1c25d2489e66adff9917e44145,True,True,6f8e2e9d54be311e0dafbca748fd1d003bf1bdd285b57a6bf14c30bad5c9194f,548ae61798d35efbf141bbca8f9a4e5bb3cffe916b881d9ca1628faf271decdc,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,c76788f73df021351eb8cbc040b0c0ebad1844e7ea959dd66d2155c5c13f7053,cd390750474f59caaef5585410a7bacb659fdb8dbfc18e6600d5b25df40a98aa,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
9,1432214,K00998.01,0,processed/1432214/K00998_01.npz,21260,01054ec8edc2a4f39beabaf29addc8d007f7dfe39948664b1ac2819ea29df361,True,True,557c3ec935cebb251e958f7118bf48c4e03d7015921ce260dd72898dc4f3572c,aa5aebb4f599e8500d61bc6f94e9b6ea3d5d50ba0501f5f17878a0f01981e570,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,cc343f2788cf0d10f82dce77288b310137ffde77af78c297956650b6190951ee,2f51ad92d00eaf9d42cbf3a2913bef4085a31c7b29dd6d0a1c2a72d2c65e430c,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
10,1432789,K00992.01,1,processed/1432789/K00992_01.npz,21260,50418f992551742c6a0aba252a88f93e2687618f9c179b6315404b2e6bbc1f9c,True,True,85e86945934b60c0f1813cee60230bcc0bd60c76e7c7e133eb36f1e5f380b65d,a8a3229e5ef9d378993e1b64cd481ac63c3b954d6d0ef9869a39cf71cc55251b,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,2113cd528843a92d07442fcc9403bdade7e0aa08da49ecd1e649090bc8b79db4,14bd4382c63fe4e06ec403c1a0ffd763db41aa7d59d71d26c83a202e4d5f88ad,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
12,1433962,K00982.01,0,processed/1433962/K00982_01.npz,21260,4db100ecc4bc65fba6468334fd9b07251104b7b8c246c97b4daeacbbac04cda0,True,True,674e7468b32603219b10c22535e524ddeac28d39efbd571c371cb629267e3584,6c0c691caf4526c84db48f9aa2cdbe7785679397d4f95d526360840add70711d,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,18ff8f84db8dfb999fee52336fb551ff20d9ced06807369ec6e7c0735ea8e940,a43c2ed16fa751899ec7755a75ada740675c682cad2ad2d11de3bb70286807e5,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
13,1433980,K03924.01,0,processed/1433980/K03924_01.npz,21260,604ab7f8cfe2c9f692ca02618d1caf0bb6db7a640aba177fab14fdc968f24b28,True,True,0915e9a2adf056b875d9494bbf15cd2b23c43ec79216e93d40f3380991529e4b,7823436b1012811ea2ae527dca1be776d3c87bddef6ad683fc6067dbeb9b8f78,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,e64e497ee1e9e0204f6998814c5a66e696701c924e45e6b05258947fe6728f05,d690835eca91817678f4c94c7fd1c8fb499aa7dd426c08ce55f1d40b378a665d,444466e23ea5f678b9f48b6137f652b770949d4b992162d4c69022bafb6b92a1
14,1434395,K07623.01,0,processed/1434395/K07623_01.npz,21260,5dd5c2bdf4fa2940c4b324ed6334cfc596b8f792c4dfb39a6f6330742414c817,False,True,7963d05a5f6dfbd511c9ba10b25a844efb454a6327ab9e719c0146b3404df32c,99b14a71b4114a9a61930594c86dfaa16cad15997ff86c14d5a9498efc62dd6c,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,4c3a5f7e2987573b722b85cd7dd81eb6ac2b0f9849dde4e47b805a4de7768e8e,5bdc624ebf5541e6ef5f226bc1d61557f597895ceed9e68c2a89568edaa3e4d6,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
