strategy,repeat_id,partition,label,host_multiplicity,period_stratum,technical_status,model_data_available,rows,assigned_denominator
host_group_stratified,0,test,0,multiple,0_to_lt10_days,constructed_qc_pass,True,9,9
host_group_stratified,0,test,0,multiple,100_days_or_more,constructed_qc_fail,True,1,7
host_group_stratified,0,test,0,multiple,100_days_or_more,constructed_qc_pass,True,6,7
host_group_stratified,0,test,0,multiple,10_to_lt100_days,constructed_qc_pass,True,5,5
host_group_stratified,0,test,0,single,0_to_lt10_days,constructed_qc_fail,True,21,385
host_group_stratified,0,test,0,single,0_to_lt10_days,constructed_qc_pass,True,364,385
host_group_stratified,0,test,0,single,100_days_or_more,constructed_qc_fail,True,2,58
host_group_stratified,0,test,0,single,100_days_or_more,constructed_qc_pass,True,56,58
host_group_stratified,0,test,0,single,10_to_lt100_days,constructed_qc_fail,True,6,130
host_group_stratified,0,test,0,single,10_to_lt100_days,constructed_qc_pass,True,124,130
host_group_stratified,0,test,1,multiple,0_to_lt10_days,constructed_qc_pass,True,80,80
host_group_stratified,0,test,1,multiple,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,0,test,1,multiple,10_to_lt100_days,constructed_qc_pass,True,93,93
host_group_stratified,0,test,1,single,0_to_lt10_days,constructed_qc_pass,True,96,96
host_group_stratified,0,test,1,single,100_days_or_more,constructed_qc_pass,True,14,14
host_group_stratified,0,test,1,single,10_to_lt100_days,constructed_qc_pass,True,108,108
host_group_stratified,0,train,0,multiple,0_to_lt10_days,constructed_qc_fail,True,4,55
host_group_stratified,0,train,0,multiple,0_to_lt10_days,constructed_qc_pass,True,51,55
host_group_stratified,0,train,0,multiple,100_days_or_more,constructed_qc_fail,True,1,19
host_group_stratified,0,train,0,multiple,100_days_or_more,constructed_qc_pass,True,18,19
host_group_stratified,0,train,0,multiple,10_to_lt100_days,constructed_qc_fail,True,2,42
host_group_stratified,0,train,0,multiple,10_to_lt100_days,constructed_qc_pass,True,40,42
host_group_stratified,0,train,0,single,0_to_lt10_days,constructed_qc_fail,True,134,1785
host_group_stratified,0,train,0,single,0_to_lt10_days,constructed_qc_pass,True,1651,1785
host_group_stratified,0,train,0,single,100_days_or_more,constructed_qc_fail,True,11,245
host_group_stratified,0,train,0,single,100_days_or_more,constructed_qc_pass,True,234,245
host_group_stratified,0,train,0,single,10_to_lt100_days,constructed_qc_fail,True,37,629
host_group_stratified,0,train,0,single,10_to_lt100_days,constructed_qc_pass,True,592,629
host_group_stratified,0,train,1,multiple,0_to_lt10_days,constructed_qc_fail,True,10,408
host_group_stratified,0,train,1,multiple,0_to_lt10_days,constructed_qc_pass,True,398,408
host_group_stratified,0,train,1,multiple,100_days_or_more,constructed_qc_pass,True,41,41
host_group_stratified,0,train,1,multiple,10_to_lt100_days,constructed_qc_fail,True,6,420
host_group_stratified,0,train,1,multiple,10_to_lt100_days,constructed_qc_pass,True,414,420
host_group_stratified,0,train,1,single,0_to_lt10_days,constructed_qc_fail,True,7,485
host_group_stratified,0,train,1,single,0_to_lt10_days,constructed_qc_pass,True,478,485
host_group_stratified,0,train,1,single,100_days_or_more,constructed_qc_pass,True,53,53
host_group_stratified,0,train,1,single,10_to_lt100_days,constructed_qc_fail,True,6,466
host_group_stratified,0,train,1,single,10_to_lt100_days,constructed_qc_pass,True,460,466
host_group_stratified,0,validation,0,multiple,0_to_lt10_days,constructed_qc_pass,True,8,8
host_group_stratified,0,validation,0,multiple,100_days_or_more,constructed_qc_pass,True,6,6
host_group_stratified,0,validation,0,multiple,10_to_lt100_days,constructed_qc_pass,True,8,8
host_group_stratified,0,validation,0,single,0_to_lt10_days,constructed_qc_fail,True,24,376
host_group_stratified,0,validation,0,single,0_to_lt10_days,constructed_qc_pass,True,352,376
host_group_stratified,0,validation,0,single,100_days_or_more,constructed_qc_pass,True,66,66
host_group_stratified,0,validation,0,single,10_to_lt100_days,constructed_qc_fail,True,4,130
host_group_stratified,0,validation,0,single,10_to_lt100_days,constructed_qc_pass,True,126,130
host_group_stratified,0,validation,1,multiple,0_to_lt10_days,constructed_qc_fail,True,2,72
host_group_stratified,0,validation,1,multiple,0_to_lt10_days,constructed_qc_pass,True,70,72
host_group_stratified,0,validation,1,multiple,100_days_or_more,constructed_qc_pass,True,12,12
host_group_stratified,0,validation,1,multiple,10_to_lt100_days,constructed_qc_pass,True,101,101
host_group_stratified,0,validation,1,single,0_to_lt10_days,constructed_qc_fail,True,4,94
host_group_stratified,0,validation,1,single,0_to_lt10_days,constructed_qc_pass,True,90,94
host_group_stratified,0,validation,1,single,100_days_or_more,constructed_qc_fail,True,1,16
host_group_stratified,0,validation,1,single,100_days_or_more,constructed_qc_pass,True,15,16
host_group_stratified,0,validation,1,single,10_to_lt100_days,constructed_qc_pass,True,106,106
host_group_stratified,1,test,0,multiple,0_to_lt10_days,constructed_qc_fail,True,2,11
host_group_stratified,1,test,0,multiple,0_to_lt10_days,constructed_qc_pass,True,9,11
host_group_stratified,1,test,0,multiple,100_days_or_more,constructed_qc_pass,True,7,7
host_group_stratified,1,test,0,multiple,10_to_lt100_days,constructed_qc_pass,True,5,5
host_group_stratified,1,test,0,single,0_to_lt10_days,constructed_qc_fail,True,31,398
host_group_stratified,1,test,0,single,0_to_lt10_days,constructed_qc_pass,True,367,398
host_group_stratified,1,test,0,single,100_days_or_more,constructed_qc_fail,True,1,58
host_group_stratified,1,test,0,single,100_days_or_more,constructed_qc_pass,True,57,58
host_group_stratified,1,test,0,single,10_to_lt100_days,constructed_qc_fail,True,3,114
host_group_stratified,1,test,0,single,10_to_lt100_days,constructed_qc_pass,True,111,114
host_group_stratified,1,test,1,multiple,0_to_lt10_days,constructed_qc_fail,True,1,87
host_group_stratified,1,test,1,multiple,0_to_lt10_days,constructed_qc_pass,True,86,87
host_group_stratified,1,test,1,multiple,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,1,test,1,multiple,10_to_lt100_days,constructed_qc_pass,True,91,91
host_group_stratified,1,test,1,single,0_to_lt10_days,constructed_qc_fail,True,4,112
host_group_stratified,1,test,1,single,0_to_lt10_days,constructed_qc_pass,True,108,112
host_group_stratified,1,test,1,single,100_days_or_more,constructed_qc_pass,True,3,3
host_group_stratified,1,test,1,single,10_to_lt100_days,constructed_qc_pass,True,98,98
host_group_stratified,1,train,0,multiple,0_to_lt10_days,constructed_qc_fail,True,2,50
host_group_stratified,1,train,0,multiple,0_to_lt10_days,constructed_qc_pass,True,48,50
host_group_stratified,1,train,0,multiple,100_days_or_more,constructed_qc_fail,True,2,24
host_group_stratified,1,train,0,multiple,100_days_or_more,constructed_qc_pass,True,22,24
host_group_stratified,1,train,0,multiple,10_to_lt100_days,constructed_qc_fail,True,2,39
host_group_stratified,1,train,0,multiple,10_to_lt100_days,constructed_qc_pass,True,37,39
host_group_stratified,1,train,0,single,0_to_lt10_days,constructed_qc_fail,True,124,1773
host_group_stratified,1,train,0,single,0_to_lt10_days,constructed_qc_pass,True,1649,1773
host_group_stratified,1,train,0,single,100_days_or_more,constructed_qc_fail,True,6,253
host_group_stratified,1,train,0,single,100_days_or_more,constructed_qc_pass,True,247,253
host_group_stratified,1,train,0,single,10_to_lt100_days,constructed_qc_fail,True,34,636
host_group_stratified,1,train,0,single,10_to_lt100_days,constructed_qc_pass,True,602,636
host_group_stratified,1,train,1,multiple,0_to_lt10_days,constructed_qc_fail,True,10,383
host_group_stratified,1,train,1,multiple,0_to_lt10_days,constructed_qc_pass,True,373,383
host_group_stratified,1,train,1,multiple,100_days_or_more,constructed_qc_pass,True,40,40
host_group_stratified,1,train,1,multiple,10_to_lt100_days,constructed_qc_fail,True,5,439
host_group_stratified,1,train,1,multiple,10_to_lt100_days,constructed_qc_pass,True,434,439
host_group_stratified,1,train,1,single,0_to_lt10_days,constructed_qc_fail,True,7,467
host_group_stratified,1,train,1,single,0_to_lt10_days,constructed_qc_pass,True,460,467
host_group_stratified,1,train,1,single,100_days_or_more,constructed_qc_pass,True,68,68
host_group_stratified,1,train,1,single,10_to_lt100_days,constructed_qc_fail,True,5,476
host_group_stratified,1,train,1,single,10_to_lt100_days,constructed_qc_pass,True,471,476
host_group_stratified,1,validation,0,multiple,0_to_lt10_days,constructed_qc_pass,True,11,11
host_group_stratified,1,validation,0,multiple,100_days_or_more,constructed_qc_pass,True,1,1
host_group_stratified,1,validation,0,multiple,10_to_lt100_days,constructed_qc_pass,True,11,11
host_group_stratified,1,validation,0,single,0_to_lt10_days,constructed_qc_fail,True,24,375
host_group_stratified,1,validation,0,single,0_to_lt10_days,constructed_qc_pass,True,351,375
host_group_stratified,1,validation,0,single,100_days_or_more,constructed_qc_fail,True,6,58
host_group_stratified,1,validation,0,single,100_days_or_more,constructed_qc_pass,True,52,58
host_group_stratified,1,validation,0,single,10_to_lt100_days,constructed_qc_fail,True,10,139
host_group_stratified,1,validation,0,single,10_to_lt100_days,constructed_qc_pass,True,129,139
host_group_stratified,1,validation,1,multiple,0_to_lt10_days,constructed_qc_fail,True,1,90
host_group_stratified,1,validation,1,multiple,0_to_lt10_days,constructed_qc_pass,True,89,90
host_group_stratified,1,validation,1,multiple,100_days_or_more,constructed_qc_pass,True,13,13
host_group_stratified,1,validation,1,multiple,10_to_lt100_days,constructed_qc_fail,True,1,84
host_group_stratified,1,validation,1,multiple,10_to_lt100_days,constructed_qc_pass,True,83,84
host_group_stratified,1,validation,1,single,0_to_lt10_days,constructed_qc_pass,True,96,96
host_group_stratified,1,validation,1,single,100_days_or_more,constructed_qc_fail,True,1,12
host_group_stratified,1,validation,1,single,100_days_or_more,constructed_qc_pass,True,11,12
host_group_stratified,1,validation,1,single,10_to_lt100_days,constructed_qc_fail,True,1,106
host_group_stratified,1,validation,1,single,10_to_lt100_days,constructed_qc_pass,True,105,106
host_group_stratified,2,test,0,multiple,0_to_lt10_days,constructed_qc_pass,True,8,8
host_group_stratified,2,test,0,multiple,100_days_or_more,constructed_qc_pass,True,8,8
host_group_stratified,2,test,0,multiple,10_to_lt100_days,constructed_qc_pass,True,9,9
host_group_stratified,2,test,0,single,0_to_lt10_days,constructed_qc_fail,True,26,370
host_group_stratified,2,test,0,single,0_to_lt10_days,constructed_qc_pass,True,344,370
host_group_stratified,2,test,0,single,100_days_or_more,constructed_qc_fail,True,3,56
host_group_stratified,2,test,0,single,100_days_or_more,constructed_qc_pass,True,53,56
host_group_stratified,2,test,0,single,10_to_lt100_days,constructed_qc_fail,True,8,143
host_group_stratified,2,test,0,single,10_to_lt100_days,constructed_qc_pass,True,135,143
host_group_stratified,2,test,1,multiple,0_to_lt10_days,constructed_qc_pass,True,82,82
host_group_stratified,2,test,1,multiple,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,2,test,1,multiple,10_to_lt100_days,constructed_qc_pass,True,94,94
host_group_stratified,2,test,1,single,0_to_lt10_days,constructed_qc_fail,True,1,106
host_group_stratified,2,test,1,single,0_to_lt10_days,constructed_qc_pass,True,105,106
host_group_stratified,2,test,1,single,100_days_or_more,constructed_qc_fail,True,1,9
host_group_stratified,2,test,1,single,100_days_or_more,constructed_qc_pass,True,8,9
host_group_stratified,2,test,1,single,10_to_lt100_days,constructed_qc_fail,True,1,100
host_group_stratified,2,test,1,single,10_to_lt100_days,constructed_qc_pass,True,99,100
host_group_stratified,2,train,0,multiple,0_to_lt10_days,constructed_qc_fail,True,3,54
host_group_stratified,2,train,0,multiple,0_to_lt10_days,constructed_qc_pass,True,51,54
host_group_stratified,2,train,0,multiple,100_days_or_more,constructed_qc_fail,True,2,18
host_group_stratified,2,train,0,multiple,100_days_or_more,constructed_qc_pass,True,16,18
host_group_stratified,2,train,0,multiple,10_to_lt100_days,constructed_qc_fail,True,1,40
host_group_stratified,2,train,0,multiple,10_to_lt100_days,constructed_qc_pass,True,39,40
host_group_stratified,2,train,0,single,0_to_lt10_days,constructed_qc_fail,True,133,1792
host_group_stratified,2,train,0,single,0_to_lt10_days,constructed_qc_pass,True,1659,1792
host_group_stratified,2,train,0,single,100_days_or_more,constructed_qc_fail,True,8,252
host_group_stratified,2,train,0,single,100_days_or_more,constructed_qc_pass,True,244,252
host_group_stratified,2,train,0,single,10_to_lt100_days,constructed_qc_fail,True,34,619
host_group_stratified,2,train,0,single,10_to_lt100_days,constructed_qc_pass,True,585,619
host_group_stratified,2,train,1,multiple,0_to_lt10_days,constructed_qc_fail,True,11,396
host_group_stratified,2,train,1,multiple,0_to_lt10_days,constructed_qc_pass,True,385,396
host_group_stratified,2,train,1,multiple,100_days_or_more,constructed_qc_pass,True,44,44
host_group_stratified,2,train,1,multiple,10_to_lt100_days,constructed_qc_fail,True,6,426
host_group_stratified,2,train,1,multiple,10_to_lt100_days,constructed_qc_pass,True,420,426
host_group_stratified,2,train,1,single,0_to_lt10_days,constructed_qc_fail,True,8,468
host_group_stratified,2,train,1,single,0_to_lt10_days,constructed_qc_pass,True,460,468
host_group_stratified,2,train,1,single,100_days_or_more,constructed_qc_pass,True,56,56
host_group_stratified,2,train,1,single,10_to_lt100_days,constructed_qc_fail,True,4,484
