batch_number,batch_id,first_kepid,last_kepid,host_count,koi_count
0,batch-00000,757450,1432789,10,10
1,batch-00001,1433962,1722276,10,12
2,batch-00002,1724513,1872821,10,11
3,batch-00003,1873513,2012722,10,10
4,batch-00004,2013883,2161623,10,10
5,batch-00005,2162994,2302758,10,12
6,batch-00006,2304320,2309585,10,11
7,batch-00007,2309587,2437488,10,11
8,batch-00008,2437505,2438490,10,11
9,batch-00009,2438502,2442084,10,11
10,batch-00010,2442359,2446623,10,10
11,batch-00011,2449053,2558370,10,10
12,batch-00012,2568971,2571238,10,10
13,batch-00013,2573056,2578811,10,10
14,batch-00014,2580872,2694632,10,11
15,batch-00015,2695110,2708221,10,10
16,batch-00016,2708270,2711114,10,10
17,batch-00017,2711123,2717158,10,11
18,batch-00018,2718778,2837111,10,11
19,batch-00019,2849805,2854839,10,11
20,batch-00020,2854914,2969638,10,11
21,batch-00021,2970804,2995392,10,12
22,batch-00022,2997178,3098184,10,11
23,batch-00023,3098194,3109937,10,10
24,batch-00024,3110937,3118797,10,10
25,batch-00025,3119256,3122913,10,10
26,batch-00026,3122985,3217264,10,14
27,batch-00027,3218844,3228945,10,12
28,batch-00028,3228959,3230753,10,10
29,batch-00029,3230787,3239636,10,15
30,batch-00030,3239671,3241557,10,13
31,batch-00031,3241604,3247294,10,11
32,batch-00032,3247396,3324986,10,10
33,batch-00033,3326377,3330684,10,11
34,batch-00034,3335813,3337438,10,10
35,batch-00035,3337548,3342467,10,11
36,batch-00036,3342592,3345973,10,12
37,batch-00037,3346154,3353050,10,12
38,batch-00038,3353454,3438507,10,11
39,batch-00039,3438975,3442054,10,10
40,batch-00040,3442055,3448130,10,12
41,batch-00041,3448323,3531231,10,10
42,batch-00042,3531558,3542573,10,13
43,batch-00043,3542574,3546060,10,10
44,batch-00044,3547091,3556229,10,13
45,batch-00045,3556742,3629967,10,10
46,batch-00046,3632089,3644505,10,13
47,batch-00047,3644523,3650049,10,12
48,batch-00048,3654095,3657758,10,12
49,batch-00049,3659940,3732035,10,11
50,batch-00050,3732821,3742855,10,10
51,batch-00051,3745559,3751231,10,13
52,batch-00052,3755522,3766353,10,10
53,batch-00053,3830820,3834364,10,11
54,batch-00054,3835670,3836558,10,10
55,batch-00055,3838004,3848275,10,10
56,batch-00056,3848665,3852258,10,10
57,batch-00057,3852476,3858879,10,10
58,batch-00058,3858884,3859363,10,10
59,batch-00059,3859628,3867593,10,10
60,batch-00060,3867615,3940418,10,13
61,batch-00061,3942670,3957082,10,11
62,batch-00062,3958301,3966262,10,12
63,batch-00063,3966801,3973002,10,11
64,batch-00064,3973504,4043190,10,10
65,batch-00065,4043443,4056616,10,10
66,batch-00066,4058169,4072333,10,10
67,batch-00067,4072526,4076952,10,10
68,batch-00068,4076976,4135665,10,13
69,batch-00069,4136466,4142768,10,13
70,batch-00070,4142847,4149684,10,11
71,batch-00071,4150390,4157052,10,15
72,batch-00072,4157325,4165960,10,13
73,batch-00073,4169315,4180401,10,11
74,batch-00074,4242692,4247991,10,10
75,batch-00075,4248120,4269252,10,12
76,batch-00076,4270253,4276445,10,12
77,batch-00077,4278221,4346178,10,10
78,batch-00078,4346875,4365442,10,12
79,batch-00079,4365461,4372768,10,11
80,batch-00080,4372961,4381282,10,10
81,batch-00081,4381429,4454219,10,10
82,batch-00082,4454752,4466677,10,13
83,batch-00083,4472143,4480676,10,10
84,batch-00084,4482738,4544572,10,10
85,batch-00085,4544620,4548011,10,11
86,batch-00086,4548098,4568298,10,11
87,batch-00087,4569590,4579313,10,10
88,batch-00088,4579321,4639868,10,13
89,batch-00089,4644604,4651399,10,12
90,batch-00090,4656049,4665571,10,11
91,batch-00091,4665989,4678873,10,10
92,batch-00092,4678875,4730442,10,11
93,batch-00093,4732015,4739565,10,10
94,batch-00094,4740676,4753988,10,11
95,batch-00095,4757331,4768756,10,11
96,batch-00096,4768846,4813563,10,13
97,batch-00097,4814502,4831728,10,10
98,batch-00098,4832175,4840818,10,14
