kepid,koi_count,fits_product_count,fits_bytes,fits_set_sha256,raw_purged,raw_retention_reason,processing_rebuild_verified_at_run,constructed_qc_fail,constructed_qc_pass,hard_preprocessing_failure,invalid_source_product,no_archive_product,other_technical_failure,retrieval_failure
757450,1,17,7439040,8dbb8d0d0c18a13d9509df62e675ed072275bc31e31e6283ecf2a1f46a6a9df2,True,,True,0,1,0,0,0,0,0
892772,1,14,6312960,3495c92f817e4f1231a5edff0df8d5f24c8ce6f8d9fab37ec3acfba4c9b42c28,True,,False,0,1,0,0,0,0,0
1025986,1,17,7439040,e570a0c297b226cda5016ab8d29b6a97216d13c9059e67d69897a62c6fc03931,True,,False,0,1,0,0,0,0,0
1026032,1,17,7439040,0489f620c6a8e6ca68c1308656a1c22d9d025f1c8c032141f38dd4c165333c95,True,,False,0,1,0,0,0,0,0
1026957,1,17,7439040,4a471d305bfa08ca4c04bc8b043592c7e3f68be788e505d0e0d76f5160f9b6c7,True,,False,0,1,0,0,0,0,0
1161345,1,17,7439040,39fdeefeb628bdc2732800f1bdf498b364835ee9538fcb4661ea5f1fbefac26d,True,,False,0,1,0,0,0,0,0
1293031,1,17,7439040,e394b51368bd65014722de4692a0e5c996200a46b35b2d609837011dc26a0fdc,True,,False,1,0,0,0,0,0,0
1293046,1,17,7439040,a373fa5b852d7306a6257aa5740d67c47fdc39fa8f88c23a43ecd2751139d5c5,True,,False,0,1,0,0,0,0,0
1432214,1,16,7246080,22c44a93a62063456ba6f4453bc452ed63108eb90116a04d8b5fc85e0df20eb9,True,,False,0,1,0,0,0,0,0
1432789,1,17,7439040,59e2d6e8b22766917ca3d88c4284324a9f2d6c24bdc4f0617bec34ccaa9ad67f,True,,False,0,1,0,0,0,0,0
1433962,1,17,7439040,73b195cf21aabc547a6cb730532fdb8147ff540e2d9a5e777595f825acfe3c99,True,,True,0,1,0,0,0,0,0
1433980,1,8,3551040,d51d2d2360e0f6239a20f566d3e8342fe697437984236f08f4765a0d92a1ad87,True,,False,0,1,0,0,0,0,0
1434395,1,6,2589120,13f4810ba6afebe0a1737d83ef5d7068190f28d361452fc099ba578bfe5202cc,True,,False,1,0,0,0,0,0,0
1571511,1,17,7439040,49de828fb9aed4735cb93988ca160257e636c84f16d583c997e0ae628edfb8c0,True,,False,0,1,0,0,0,0,0
1572948,1,2,1013760,adaef9168c106ff974a3191c4268f0ba116b51a50264ce2fc89235bc2382e1fd,True,,False,1,0,0,0,0,0,0
1575690,1,14,6312960,1c196c02502ea0b631589777c14a776d5b4dfbaf2a2de2f2b1da63a08337e1c1,True,,False,0,1,0,0,0,0,0
1717722,1,16,7246080,c5d3701237bd76d658750f2244a139c16e40ce61fdd75c9fda21dc2a2d578710,True,,False,0,1,0,0,0,0,0
1718189,3,17,7439040,c6b51112fbdeebe250d3ee0a9d90ced5631314ad96371d3d1b7f3df778df4b63,True,,False,0,3,0,0,0,0,0
1718958,1,17,7439040,71c7d59d423c7e8f37cb842d207fde8dc1472cec3ecd4759f595eb4f48f01928,True,,False,0,1,0,0,0,0,0
1722276,1,17,7439040,5eea16407d785dc8c455bbb17d8c3405018d24dfd1b87ed8ceec3d40007373b7,True,,False,0,1,0,0,0,0,0
1724513,1,17,7439040,d09d232448ee59a0afe658003fb1eef42034ab6ee1bdb87aa17712ff6d35a171,True,,True,0,1,0,0,0,0,0
1724719,1,17,7439040,0c1d70c75ba002ae238ce1b306b5a68094f485a5008b6ebe57552002626c129c,True,,False,0,1,0,0,0,0,0
1725016,1,14,6312960,d16649a5dc61e7207936b55aa07580e6fbc3bee01749410e50ae1b703fa6c7eb,True,,False,0,1,0,0,0,0,0
1725193,1,8,3876480,b8ad9f806e8496b9650859f502c58b7bf52bcbd26701b9908fbdf209c0deecad,True,,False,0,1,0,0,0,0,0
1849702,1,17,7439040,dafa8e4c95b6a46b452b0797c4e84bb5a13cc8980ce9cbb4969a5710797f4616,True,,False,0,1,0,0,0,0,0
1865042,1,17,7439040,5cd139c5adf15f07449c9289009cd96d93bdf34730b6433df327ba0ae6935760,True,,False,0,1,0,0,0,0,0
1868404,1,17,7439040,5b0dcd8b06ee9fa616e308c6a45802a7d742302e127958a377e2f5dfe2080ebf,True,,False,0,1,0,0,0,0,0
1870398,1,17,7439040,d8d948414aa39d738d8b698b6b4e54bb4f71f562f99725aac823e8be04fb0bdf,True,,False,0,1,0,0,0,0,0
1871056,2,17,7439040,9c1501fbc242ed7b19824542e918a5d4f921b06dddf2feaa538f4195cc7aba7c,True,,False,0,2,0,0,0,0,0
1872821,1,17,7439040,25991991a4ebb546b2992949ed1fd03f2b8127c9834b6f41c606406c0137c8f8,True,,False,0,1,0,0,0,0,0
1873513,1,4,1650240,92a193f0158e043af7498e9662f406a5d8cad5d2f56ff4317aa622890dd31f60,True,,True,1,0,0,0,0,0,0
1995519,1,17,7439040,649b1d84db4fb23afdb0725910d674d35371337b7c515396478a600db5072336,True,,False,0,1,0,0,0,0,0
1995712,1,17,7439040,ae206c152e8c7b8e25263f5cc81621fdba2a2ff680101ce9f942085bd3805f08,True,,False,0,1,0,0,0,0,0
1995732,1,16,7246080,86b839d6f5c5692b41ad6bb0200376835cf20465b41f25e8ed120d006705780e,True,,False,0,1,0,0,0,0,0
1996180,1,17,7439040,d80fe9c8aca004afd12be9a6a0c2bfc3ece78b7241186cbd3f42a18644c2fc4b,True,,False,0,1,0,0,0,0,0
1996679,1,17,7439040,ab2e48cf21ef396f9417cf95d58f8bef44bc0bd10d0bca31416f657257646a80,True,,False,0,1,0,0,0,0,0
2010152,1,17,7439040,f7c908c9253dd5e444abdae00b74ff4a37e47276aca428fd8a46bf907ad35058,True,,False,0,1,0,0,0,0,0
2010191,1,17,7439040,3aa225c1c33a8bea1d788d200b96821a4305903b2f16e107104400869567855a,True,,False,0,1,0,0,0,0,0
2010607,1,17,7439040,e1e769f6c5c51d082ba6a75ef89b21afead3ec490b600dfd7c3ea0ab10190eb8,True,,False,0,1,0,0,0,0,0
2012722,1,17,7439040,1813eeaeeb3ff8fa2588d082df852e0c27d248d432a12ad34d14ce9c6756d546,True,,False,0,1,0,0,0,0,0
2013883,1,17,7439040,749204c6dc6ad631472f1cdae07bf44c9c8d148a7409f7794005c3e72deb3c34,True,,True,0,1,0,0,0,0,0
2014991,1,17,7439040,2065d6ad6ff979bdb64086d0e76f71bbba30783b8dcd70090e33e488d6bc4146,True,,False,0,1,0,0,0,0,0
2019076,1,15,6776640,e8d865cf9ef0a654f0b2205c16d0b628d8ca2b5faede7fcd19c420a1c9690e15,True,,False,0,1,0,0,0,0,0
2019477,1,17,7439040,7b0bd0e5de8af6717ef0fe886b3e502fded73c247c9a6699ebfa61081169e98c,True,,False,0,1,0,0,0,0,0
2021440,1,17,7439040,2b3d9923939b3847ed3d2f45383609fe2c470cb28d083ff0e431143a4a249f1c,True,,False,0,1,0,0,0,0,0
2140389,1,14,6312960,1812e22ee679b34139def3a183ffd31e5a93b996eed229b67f575410647032bf,True,,False,0,1,0,0,0,0,0
2141783,1,17,7439040,3e47592a957e439397a0140ff757b42c8b2e36becbbea695572919e466f2ad86,True,,False,0,1,0,0,0,0,0
2142522,1,17,7439040,8d61c67e9db43859d7e625e3c0362df366dcf77e4609e27fc10c51de126b0e5e,True,,False,0,1,0,0,0,0,0
2161536,1,17,7439040,91700c1161ef68ad7d49a67e4f933e6c88e37814229e6a82421121df5cb9ed8a,True,,False,0,1,0,0,0,0,0
2161623,1,2,1013760,51c7d225d512b7a48da1a7911280027339d204ffb182296a5daf79029a519bd5,True,,False,1,0,0,0,0,0,0
2162994,1,17,7439040,344f6c68f8c77125fa4ab569c533ad8c56ce23f1fda1dd9ea6bfee607ad3b112,True,,True,0,1,0,0,0,0,0
2164169,1,17,7439040,424b8a54c74a6a69c7bbbb55a693ceea7f3a22c347fa075549e14f2e13461253,True,,False,0,1,0,0,0,0,0
