kepid,koi_count,host_order,batch_number,batch_id
757450,1,0,0,batch-00000
892772,1,1,0,batch-00000
1025986,1,2,0,batch-00000
1026032,1,3,0,batch-00000
1026957,1,4,0,batch-00000
1161345,1,5,0,batch-00000
1293031,1,6,0,batch-00000
1293046,1,7,0,batch-00000
1432214,1,8,0,batch-00000
1432789,1,9,0,batch-00000
1433962,1,10,1,batch-00001
1433980,1,11,1,batch-00001
1434395,1,12,1,batch-00001
1571511,1,13,1,batch-00001
1572948,1,14,1,batch-00001
1575690,1,15,1,batch-00001
1717722,1,16,1,batch-00001
1718189,3,17,1,batch-00001
1718958,1,18,1,batch-00001
1722276,1,19,1,batch-00001
1724513,1,20,2,batch-00002
1724719,1,21,2,batch-00002
1725016,1,22,2,batch-00002
1725193,1,23,2,batch-00002
1849702,1,24,2,batch-00002
1865042,1,25,2,batch-00002
1868404,1,26,2,batch-00002
1870398,1,27,2,batch-00002
1871056,2,28,2,batch-00002
1872821,1,29,2,batch-00002
1873513,1,30,3,batch-00003
1995519,1,31,3,batch-00003
1995712,1,32,3,batch-00003
1995732,1,33,3,batch-00003
1996180,1,34,3,batch-00003
1996679,1,35,3,batch-00003
2010152,1,36,3,batch-00003
2010191,1,37,3,batch-00003
2010607,1,38,3,batch-00003
2012722,1,39,3,batch-00003
2013883,1,40,4,batch-00004
2014991,1,41,4,batch-00004
2019076,1,42,4,batch-00004
2019477,1,43,4,batch-00004
2021440,1,44,4,batch-00004
2140389,1,45,4,batch-00004
2141783,1,46,4,batch-00004
2142522,1,47,4,batch-00004
2161536,1,48,4,batch-00004
2161623,1,49,4,batch-00004
2162994,1,50,5,batch-00005
2164169,1,51,5,batch-00005
2165002,2,52,5,batch-00005
2165352,1,53,5,batch-00005
2166200,1,54,5,batch-00005
2166206,1,55,5,batch-00005
2167444,1,56,5,batch-00005
2167890,1,57,5,batch-00005
2302548,2,58,5,batch-00005
2302758,1,59,5,batch-00005
2304320,1,60,6,batch-00006
2305255,1,61,6,batch-00006
2305372,1,62,6,batch-00006
2305543,1,63,6,batch-00006
2306740,1,64,6,batch-00006
2307206,1,65,6,batch-00006
2307415,2,66,6,batch-00006
2308411,1,67,6,batch-00006
2308957,1,68,6,batch-00006
2309585,1,69,6,batch-00006
2309587,1,70,7,batch-00007
2309719,1,71,7,batch-00007
2309910,1,72,7,batch-00007
2436378,1,73,7,batch-00007
2437060,1,74,7,batch-00007
2437112,2,75,7,batch-00007
2437149,1,76,7,batch-00007
2437209,1,77,7,batch-00007
2437452,1,78,7,batch-00007
2437488,1,79,7,batch-00007
2437505,1,80,8,batch-00008
2437783,1,81,8,batch-00008
2437804,1,82,8,batch-00008
2437897,1,83,8,batch-00008
2438061,1,84,8,batch-00008
2438062,1,85,8,batch-00008
2438070,1,86,8,batch-00008
2438264,2,87,8,batch-00008
2438406,1,88,8,batch-00008
2438490,1,89,8,batch-00008
2438502,1,90,9,batch-00009
2438513,2,91,9,batch-00009
2438517,1,92,9,batch-00009
2439243,1,93,9,batch-00009
2440757,1,94,9,batch-00009
2441151,1,95,9,batch-00009
2441161,1,96,9,batch-00009
2441495,1,97,9,batch-00009
2441728,1,98,9,batch-00009
2442084,1,99,9,batch-00009
2442359,1,100,10,batch-00010
2442448,1,101,10,batch-00010
2444412,1,102,10,batch-00010
2445129,1,103,10,batch-00010
2445134,1,104,10,batch-00010
2445154,1,105,10,batch-00010
2445975,1,106,10,batch-00010
2446113,1,107,10,batch-00010
2446134,1,108,10,batch-00010
2446623,1,109,10,batch-00010
2449053,1,110,11,batch-00011
2449074,1,111,11,batch-00011
2449090,1,112,11,batch-00011
2452440,1,113,11,batch-00011
2452450,1,114,11,batch-00011
2556650,1,115,11,batch-00011
2557430,1,116,11,batch-00011
2557816,1,117,11,batch-00011
2558363,1,118,11,batch-00011
2558370,1,119,11,batch-00011
2568971,1,120,12,batch-00012
2569488,1,121,12,batch-00012
2569494,1,122,12,batch-00012
2569516,1,123,12,batch-00012
2569995,1,124,12,batch-00012
2570432,1,125,12,batch-00012
2570505,1,126,12,batch-00012
2570767,1,127,12,batch-00012
2570773,1,128,12,batch-00012
2571238,1,129,12,batch-00012
2573056,1,130,13,batch-00013
2573108,1,131,13,batch-00013
2574201,1,132,13,batch-00013
2574338,1,133,13,batch-00013
2574543,1,134,13,batch-00013
2576107,1,135,13,batch-00013
2576197,1,136,13,batch-00013
2576692,1,137,13,batch-00013
2578017,1,138,13,batch-00013
2578811,1,139,13,batch-00013
2580872,1,140,14,batch-00014
2581191,1,141,14,batch-00014
2581316,2,142,14,batch-00014
2581554,1,143,14,batch-00014
2583777,1,144,14,batch-00014
2584163,1,145,14,batch-00014
2692377,1,146,14,batch-00014
2693092,1,147,14,batch-00014
2693736,1,148,14,batch-00014
2694632,1,149,14,batch-00014
2695110,1,150,15,batch-00015
2696703,1,151,15,batch-00015
2697935,1,152,15,batch-00015
2707097,1,153,15,batch-00015
2707916,1,154,15,batch-00015
2707985,1,155,15,batch-00015
2708156,1,156,15,batch-00015
2708172,1,157,15,batch-00015
2708203,1,158,15,batch-00015
2708221,1,159,15,batch-00015
2708270,1,160,16,batch-00016
2708278,1,161,16,batch-00016
2708286,1,162,16,batch-00016
2708343,1,163,16,batch-00016
2708420,1,164,16,batch-00016
2708445,1,165,16,batch-00016
2708614,1,166,16,batch-00016
2708885,1,167,16,batch-00016
2710623,1,168,16,batch-00016
2711114,1,169,16,batch-00016
2711123,1,170,17,batch-00017
2711131,1,171,17,batch-00017
2711597,1,172,17,batch-00017
2712825,1,173,17,batch-00017
2713049,1,174,17,batch-00017
2715135,1,175,17,batch-00017
2715695,1,176,17,batch-00017
2716801,1,177,17,batch-00017
2716853,2,178,17,batch-00017
2717158,1,179,17,batch-00017
2718778,1,180,18,batch-00018
2719873,1,181,18,batch-00018
2720354,1,182,18,batch-00018
2720514,1,183,18,batch-00018
2721030,1,184,18,batch-00018
2830919,1,185,18,batch-00018
2831055,1,186,18,batch-00018
2831251,1,187,18,batch-00018
2832589,1,188,18,batch-00018
2837111,2,189,18,batch-00018
2849805,1,190,19,batch-00019
2850321,1,191,19,batch-00019
2851100,1,192,19,batch-00019
2852528,1,193,19,batch-00019
2852560,1,194,19,batch-00019
2853093,1,195,19,batch-00019
2853828,1,196,19,batch-00019
2854181,1,197,19,batch-00019
2854698,2,198,19,batch-00019
2854839,1,199,19,batch-00019
2854914,2,200,20,batch-00020
2854948,1,201,20,batch-00020
2856960,1,202,20,batch-00020
2857607,1,203,20,batch-00020
2859299,1,204,20,batch-00020
2860114,1,205,20,batch-00020
2860594,1,206,20,batch-00020
2860788,1,207,20,batch-00020
2860793,1,208,20,batch-00020
2969638,1,209,20,batch-00020
2970804,1,210,21,batch-00021
2973509,1,211,21,batch-00021
2975770,2,212,21,batch-00021
2985767,1,213,21,batch-00021
2987027,1,214,21,batch-00021
2987433,1,215,21,batch-00021
2989404,2,216,21,batch-00021
2989706,1,217,21,batch-00021
2990873,1,218,21,batch-00021
2995392,1,219,21,batch-00021
2997178,1,220,22,batch-00022
2997455,1,221,22,batch-00022
2998124,1,222,22,batch-00022
3001885,1,223,22,batch-00022
3003019,1,224,22,batch-00022
3003991,1,225,22,batch-00022
3003992,2,226,22,batch-00022
3097346,1,227,22,batch-00022
3097352,1,228,22,batch-00022
3098184,1,229,22,batch-00022
3098194,1,230,23,batch-00023
3098197,1,231,23,batch-00023
3098810,1,232,23,batch-00023
3102000,1,233,23,batch-00023
3102024,1,234,23,batch-00023
3102309,1,235,23,batch-00023
3102384,1,236,23,batch-00023
3103227,1,237,23,batch-00023
3109930,1,238,23,batch-00023
3109937,1,239,23,batch-00023
3110937,1,240,24,batch-00024
3113266,1,241,24,batch-00024
3114167,1,242,24,batch-00024
3114661,1,243,24,batch-00024
3114667,1,244,24,batch-00024
3114811,1,245,24,batch-00024
3115480,1,246,24,batch-00024
3116412,1,247,24,batch-00024
3117046,1,248,24,batch-00024
3118797,1,249,24,batch-00024
