source_row_index,kepid,kepoi_name,label,processing_status,technical_status,qc_pass,model_data_available,qc_reasons,relative_path,npz_sha256,hard_failure_reason
0,757450,K00889.01,1,constructed,constructed_qc_pass,True,True,[],processed/757450/K00889_01.npz,156787337768e1b5d6eb8e8b0fc7d89023301e73d6a44f63169264830e291754,
1,892772,K01009.01,0,constructed,constructed_qc_pass,True,True,[],processed/892772/K01009_01.npz,f275abd37b95422ffd3e9012d8a067be26c204c8cbcd1fe24e41f7a77d90b5f2,
2,1025986,K07621.01,0,constructed,constructed_qc_pass,True,True,[],processed/1025986/K07621_01.npz,5979d4d0b450ce50c8876f7e7a8d418f1b9ba4426596dc96659211a006f68319,
3,1026032,K06252.01,0,constructed,constructed_qc_pass,True,True,[],processed/1026032/K06252_01.npz,4480adeed972346dc343e45a6e2a7b0cda65bf0ecac1cf0f6cb7a036c4bfdaf2,
4,1026957,K00958.01,1,constructed,constructed_qc_pass,True,True,[],processed/1026957/K00958_01.npz,5bfbf068705533a701cc8b1c83e50d1509bd9e3021b62ec7cd217d6204339118,
5,1161345,K00984.01,1,constructed,constructed_qc_pass,True,True,[],processed/1161345/K00984_01.npz,ba24b71641836cd239ec0f5baf8414e16731c3f1fa73ce5a9a340f86fce5e6a7,
6,1293031,K04162.01,0,constructed,constructed_qc_fail,False,True,"[""local_missing_run_above_0.25""]",processed/1293031/K04162_01.npz,3c43ba3dc12835ede16c725f9f786c2b6948d057dc73044269f176f074e277ae,
7,1293046,K07622.01,0,constructed,constructed_qc_pass,True,True,[],processed/1293046/K07622_01.npz,bc68f2f39565bd48ec677873bea04448bae71e1c25d2489e66adff9917e44145,
9,1432214,K00998.01,0,constructed,constructed_qc_pass,True,True,[],processed/1432214/K00998_01.npz,01054ec8edc2a4f39beabaf29addc8d007f7dfe39948664b1ac2819ea29df361,
10,1432789,K00992.01,1,constructed,constructed_qc_pass,True,True,[],processed/1432789/K00992_01.npz,50418f992551742c6a0aba252a88f93e2687618f9c179b6315404b2e6bbc1f9c,
